type,text,label,is_label_correct,is_grammatically,is_makes_sense,ptype->htype,from->to,section,worker,is_completed,row_id,hit_id
H,"The Pacific War actually began 70 minutes before the **obstacle** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,hyper->nonhypo,operation->obstacle,3 Hyper->Nonhypo,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,hyper->nonhypo,operation->voyage,3 Hyper->Nonhypo,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,"The Pacific War actually began 70 minutes before the **voyage** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,hyper->nonhypo,operation->voyage,3 Hyper->Nonhypo,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",neutral,,,,hyper->hypo,operation->attack,4 hyper->hypo freestyle original,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The Pacific War began prior to the **attack** on Pearl Harbor.,neutral,,,,hyper->hypo,operation->attack,4 hyper->hypo freestyle original,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,hyper->nonhypo,operation->quest,4 hyper->Nonhypo freestyle original,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The **quest** on Pearl Harbor began 70 minutes before the Pacific War.,contradiction,,,,hyper->nonhypo,operation->quest,4 hyper->Nonhypo freestyle original,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **attack** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",entailment,,,,hypo->hyper,attack->operation,5 hypo->hyper freestyle original,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The **operation** on Pearl Harbor started after the beginning of the Pacific War.,entailment,,,,hypo->hyper,attack->operation,5 hypo->hyper freestyle original,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **attack** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,hypo->nonhypo,attack->quest,5 hypo->Nonhypo freestyle original,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The war began 30 minutes before the **quest** on Pearl Harbor.,contradiction,,,,hypo->nonhypo,attack->quest,5 hypo->Nonhypo freestyle original,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",neutral,,,,hyper->hypo,operation->mission,dataset3 hyper->hypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The Pacific War began prior to the **mission** on Pearl Harbor.,neutral,,,,hyper->hypo,operation->mission,dataset3 hyper->hypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",neutral,,,,hyper->hypo,operation->maneuver,dataset3 hyper->hypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The Pacific War began prior to the **maneuver** on Pearl Harbor.,neutral,,,,hyper->hypo,operation->maneuver,dataset3 hyper->hypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",neutral,,,,hyper->hypo,operation->expedition,dataset3 hyper->hypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The Pacific War began prior to the **expedition** on Pearl Harbor.,neutral,,,,hyper->hypo,operation->expedition,dataset3 hyper->hypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",neutral,,,,hyper->hypo,operation->offensive,dataset3 hyper->hypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The Pacific War began prior to the **offensive** on Pearl Harbor.,neutral,,,,hyper->hypo,operation->offensive,dataset3 hyper->hypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",neutral,,,,hyper->hypo,operation->offense,dataset3 hyper->hypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The Pacific War began prior to the **offense** on Pearl Harbor.,neutral,,,,hyper->hypo,operation->offense,dataset3 hyper->hypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,hyper->nonhypo,operation->obstacle,dataset3 hyper->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The **obstacle** on Pearl Harbor began 70 minutes before the Pacific War.,contradiction,,,,hyper->nonhypo,operation->obstacle,dataset3 hyper->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **operation** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,hyper->nonhypo,operation->voyage,dataset3 hyper->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The **voyage** on Pearl Harbor began 70 minutes before the Pacific War.,contradiction,,,,hyper->nonhypo,operation->voyage,dataset3 hyper->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **mission** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",entailment,,,,hypo->hyper,mission->operation,dataset3 hypo->hyper freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The **operation** on Pearl Harbor started after the beginning of the Pacific War.,entailment,,,,hypo->hyper,mission->operation,dataset3 hypo->hyper freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **maneuver** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",entailment,,,,hypo->hyper,maneuver->operation,dataset3 hypo->hyper freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The **operation** on Pearl Harbor started after the beginning of the Pacific War.,entailment,,,,hypo->hyper,maneuver->operation,dataset3 hypo->hyper freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **expedition** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",entailment,,,,hypo->hyper,expedition->operation,dataset3 hypo->hyper freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The **operation** on Pearl Harbor started after the beginning of the Pacific War.,entailment,,,,hypo->hyper,expedition->operation,dataset3 hypo->hyper freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **offensive** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",entailment,,,,hypo->hyper,offensive->operation,dataset3 hypo->hyper freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The **operation** on Pearl Harbor started after the beginning of the Pacific War.,entailment,,,,hypo->hyper,offensive->operation,dataset3 hypo->hyper freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **offense** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",entailment,,,,hypo->hyper,offense->operation,dataset3 hypo->hyper freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The **operation** on Pearl Harbor started after the beginning of the Pacific War.,entailment,,,,hypo->hyper,offense->operation,dataset3 hypo->hyper freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **mission** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,hypo->nonhypo,mission->obstacle,dataset3 hypo->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The war began 30 minutes before the **obstacle** on Pearl Harbor.,contradiction,,,,hypo->nonhypo,mission->obstacle,dataset3 hypo->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **maneuver** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,hypo->nonhypo,maneuver->obstacle,dataset3 hypo->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The war began 30 minutes before the **obstacle** on Pearl Harbor.,contradiction,,,,hypo->nonhypo,maneuver->obstacle,dataset3 hypo->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **expedition** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,hypo->nonhypo,expedition->obstacle,dataset3 hypo->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The war began 30 minutes before the **obstacle** on Pearl Harbor.,contradiction,,,,hypo->nonhypo,expedition->obstacle,dataset3 hypo->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **offensive** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,hypo->nonhypo,offensive->obstacle,dataset3 hypo->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The war began 30 minutes before the **obstacle** on Pearl Harbor.,contradiction,,,,hypo->nonhypo,offensive->obstacle,dataset3 hypo->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **offense** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,hypo->nonhypo,offense->obstacle,dataset3 hypo->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The war began 30 minutes before the **obstacle** on Pearl Harbor.,contradiction,,,,hypo->nonhypo,offense->obstacle,dataset3 hypo->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **mission** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,hypo->nonhypo,mission->voyage,dataset3 hypo->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The war began 30 minutes before the **voyage** on Pearl Harbor.,contradiction,,,,hypo->nonhypo,mission->voyage,dataset3 hypo->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **maneuver** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,hypo->nonhypo,maneuver->voyage,dataset3 hypo->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The war began 30 minutes before the **voyage** on Pearl Harbor.,contradiction,,,,hypo->nonhypo,maneuver->voyage,dataset3 hypo->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **expedition** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,hypo->nonhypo,expedition->voyage,dataset3 hypo->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The war began 30 minutes before the **voyage** on Pearl Harbor.,contradiction,,,,hypo->nonhypo,expedition->voyage,dataset3 hypo->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **offensive** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,hypo->nonhypo,offensive->voyage,dataset3 hypo->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The war began 30 minutes before the **voyage** on Pearl Harbor.,contradiction,,,,hypo->nonhypo,offensive->voyage,dataset3 hypo->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The Pacific War actually began 70 minutes before the **offense** on Pearl Harbor, on Malaysia's east coast, near Kota Bharu.",contradiction,,,,hypo->nonhypo,offense->voyage,dataset3 hypo->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
H,The war began 30 minutes before the **voyage** on Pearl Harbor.,contradiction,,,,hypo->nonhypo,offense->voyage,dataset3 hypo->nonhypo freestyle substitution,A3J2JEHSHC6T5R,True,0,3HYV4299H0XHIIPHHP24PT0LSYAE8M
P,"The king himself died here in 1598, to be buried in a family tomb beneath the high **altar** of the basilica.",entailment,,,,hypo->hyper,altar->table,1,A2A4UAFZ5LW71K,True,1,322ZSN9Z5GLIO0KCVH1M73KHTM14TV
H,"The king himself died here in 1598, to be buried in a family tomb beneath the high **table** of the basilica.",entailment,,,,hypo->hyper,altar->table,1,A2A4UAFZ5LW71K,True,1,322ZSN9Z5GLIO0KCVH1M73KHTM14TV
P,"The king himself died here in 1598, to be buried in a family tomb beneath the high **table** of the basilica.",neutral,,,,hyper->hypo,table->worktable,2 hyper->hypo,A2A4UAFZ5LW71K,True,1,322ZSN9Z5GLIO0KCVH1M73KHTM14TV
H,"The king himself died here in 1598, to be buried in a family tomb beneath the high **worktable** of the basilica.",neutral,,,,hyper->hypo,table->worktable,2 hyper->hypo,A2A4UAFZ5LW71K,True,1,322ZSN9Z5GLIO0KCVH1M73KHTM14TV
P,"The king himself died here in 1598, to be buried in a family tomb beneath the high **table** of the basilica.",neutral,,,,hyper->hypo,table->lectern,2 hyper->hypo,A2A4UAFZ5LW71K,True,1,322ZSN9Z5GLIO0KCVH1M73KHTM14TV
H,"The king himself died here in 1598, to be buried in a family tomb beneath the high **lectern** of the basilica.",neutral,,,,hyper->hypo,table->lectern,2 hyper->hypo,A2A4UAFZ5LW71K,True,1,322ZSN9Z5GLIO0KCVH1M73KHTM14TV
P,"The king himself died here in 1598, to be buried in a family tomb beneath the high **table** of the basilica.",neutral,,,,hyper->hypo,table->counter,2 hyper->hypo,A2A4UAFZ5LW71K,True,1,322ZSN9Z5GLIO0KCVH1M73KHTM14TV
H,"The king himself died here in 1598, to be buried in a family tomb beneath the high **counter** of the basilica.",neutral,,,,hyper->hypo,table->counter,2 hyper->hypo,A2A4UAFZ5LW71K,True,1,322ZSN9Z5GLIO0KCVH1M73KHTM14TV
P,"The king himself died here in 1598, to be buried in a family tomb beneath the high **table** of the basilica.",neutral,,,,hyper->hypo,table->desk,2 hyper->hypo,A2A4UAFZ5LW71K,True,1,322ZSN9Z5GLIO0KCVH1M73KHTM14TV
H,"The king himself died here in 1598, to be buried in a family tomb beneath the high **desk** of the basilica.",neutral,,,,hyper->hypo,table->desk,2 hyper->hypo,A2A4UAFZ5LW71K,True,1,322ZSN9Z5GLIO0KCVH1M73KHTM14TV
P,"The king himself died here in 1598, to be buried in a family tomb beneath the high **table** of the basilica.",neutral,,,,hyper->hypo,table->escritoire,2 hyper->hypo,A2A4UAFZ5LW71K,True,1,322ZSN9Z5GLIO0KCVH1M73KHTM14TV
H,"The king himself died here in 1598, to be buried in a family tomb beneath the high **escritoire** of the basilica.",neutral,,,,hyper->hypo,table->escritoire,2 hyper->hypo,A2A4UAFZ5LW71K,True,1,322ZSN9Z5GLIO0KCVH1M73KHTM14TV
P,"The king himself died here in 1598, to be buried in a family tomb beneath the high **worktable** of the basilica.",entailment,,,,hypo->hyper,worktable->table,2 hypo->hyper,A2A4UAFZ5LW71K,True,1,322ZSN9Z5GLIO0KCVH1M73KHTM14TV
H,"The king himself died here in 1598, to be buried in a family tomb beneath the high **table** of the basilica.",entailment,,,,hypo->hyper,worktable->table,2 hypo->hyper,A2A4UAFZ5LW71K,True,1,322ZSN9Z5GLIO0KCVH1M73KHTM14TV
P,"The king himself died here in 1598, to be buried in a family tomb beneath the high **lectern** of the basilica.",entailment,,,,hypo->hyper,lectern->table,2 hypo->hyper,A2A4UAFZ5LW71K,True,1,322ZSN9Z5GLIO0KCVH1M73KHTM14TV
H,"The king himself died here in 1598, to be buried in a family tomb beneath the high **table** of the basilica.",entailment,,,,hypo->hyper,lectern->table,2 hypo->hyper,A2A4UAFZ5LW71K,True,1,322ZSN9Z5GLIO0KCVH1M73KHTM14TV
P,"The king himself died here in 1598, to be buried in a family tomb beneath the high **counter** of the basilica.",entailment,,,,hypo->hyper,counter->table,2 hypo->hyper,A2A4UAFZ5LW71K,True,1,322ZSN9Z5GLIO0KCVH1M73KHTM14TV
H,"The king himself died here in 1598, to be buried in a family tomb beneath the high **table** of the basilica.",entailment,,,,hypo->hyper,counter->table,2 hypo->hyper,A2A4UAFZ5LW71K,True,1,322ZSN9Z5GLIO0KCVH1M73KHTM14TV
P,"The king himself died here in 1598, to be buried in a family tomb beneath the high **desk** of the basilica.",entailment,,,,hypo->hyper,desk->table,2 hypo->hyper,A2A4UAFZ5LW71K,True,1,322ZSN9Z5GLIO0KCVH1M73KHTM14TV
